customer,market,platform,channel,customer_code
Amazon ,Sweden,E-Commerce,Retailer,90019203
Argos (Sainsbury's),Sweden,Brick & Mortar,Retailer,90019202
,Sweden,Brick & Mortar,Retailer,ZZZ3286
AltiQ Exclusive,Indonesia,Brick & Mortar,Direct,70003181
Acclaimed Stores,Indonesia,Brick & Mortar,Retailer,90003179
Atliq e Store,Indonesia,E-Commerce,Direct,70003182
Amazon ,Indonesia,E-Commerce,Retailer,90003180
Taobao,China,E-Commerce,Retailer,90001021
Zone,China,Brick & Mortar,Retailer,90001020
Neptune,China,Brick & Mortar,Distributor,80001019
Atliq e Store,Mexico,E-Commerce,Direct,70026206
Atliq e Store,Brazil,E-Commerce,Direct,70027208
Amazon ,Brazil,E-Commerce,Retailer,90027207
Electricalsbea Stores,Chile,Brick & Mortar,Retailer,90024183
Amazon ,Chile,E-Commerce,Retailer,90024184
Amazon ,Mexico,E-Commerce,Retailer,90026205
Electricalsbea Stores,Columbia,Brick & Mortar,Retailer,90025209
Amazon ,Chile,E-Commerce,Retailer,90024184
Mbit,Norway,Brick & Mortar,Retailer,90015146
Sound,Australia,Brick & Mortar,Retailer,90008166
Amazon ,Indonesia,E-Commerce,Retailer,90003180
Premium Stores,Portugal,Brick & Mortar,Retailer,90017049
Amazon ,Japan,E-Commerce,Retailer,ZZZ9935
Otto,Germany,Brick & Mortar,Retailer,90012034
AltiQ Exclusive,Netherlands,Brick & Mortar,Direct,70014142
Logic Stores,United Kingdom,Brick & Mortar,Retailer,90021087
Atliq e Store,USA,E-Commerce,Direct,70022085
