date,division,category,product_code,product,market,platform,channel,customer_code,customer_name,sold_quantity
2025-05-01,N & S,External Solid State Drives,A6419160301,AQ Clx1,Italy,Brick & Mortar,Direct,70013125,AltiQ Exclusive,94
2025-05-01,P & A,Keyboard,A3320150501,AQ Maxima,France,E-Commerce,Direct,70011194,Atliq e Store,166
2025-05-01,PC,Business Laptop,A5820110104,AQ BZ Allin1,Italy,Brick & Mortar,Retailer,90013119,Argos (Sainsbury's),2
2025-05-01,PC,Gaming Laptop,A5419110201,AQ Gamer 2,Portugal,Brick & Mortar,Retailer,90017049,Premium Stores,1 units
2025-05-01,P & A,Keyboard,A3019150206,AQ Master wireless x1,India,UNKNOWN,Retailer,90002001,Reliance Digital,484
2025-05-01,P & A,MotherBoard,A1618150102,AQ MB Elite,Indonesia,Brick & Mortar,Direct,ZZZ4460,,23
2025-05-01,N & S,Wi fi extender,A7220160202,AQ Wi Power Dx2,South Korea,Brick & Mortar,Direct,70007198,AltiQ Exclusive,322
2025-05-01,P & A,Keyboard,A3420150602,AQ Qwerty,Portugal,Brick & Mortar,Retailer,90017051,Forward Stores,46
2025-05-01,P & A,Keyboard,A3019150206,AQ Master wireless x1,United Kingdom,E-Commerce,Retailer,90021095,Amazon,139 units
2025-05-01,PC,Personal Laptop,A4419110402,AQ Elite,Austria,E-Commerce,Retailer,90020103,Amazon,1 units
2025-05-01,P & A,Keyboard,A3220150401,AQ Lite,Poland,Brick & Mortar,Retailer,90016175,Argos (Sainsbury's),40
2025-05-01,P & A,Batteries,A4021150405,AQ Mx NB,United Kingdom,UNKNOWN,Retailer,90021095,Amazon,7
2025-05-01,PC,Business Laptop,A5820110105,AQ BZ Allin1,Columbia,Brick & Mortar,Retailer,90025209,Electricalsbea Stores,1
2025-05-01,P & A,Keyboard,A3018150203,AQ Master wireless x1,Poland,E-Commerce,Direct,70016178,Atliq e Store,525
2025-05-01,P & A,Graphic Card,A0721150403,AQ GT 21,USA,E-Commerce,Retailer,90022081,Amazon,120
2025-05-01,P & A,Internal HDD,A0320150301,AQ Zion Saga,India,Brick & Mortar,Retailer,90002006,Viveks,241
2025-05-01,P & A,Keyboard,A3018150202,AQ Master wireless x1,Canada,E-Commerce,Retailer,90023030,Amazon,86
2025-05-01,PC,Business Laptop,A5119110305,AQ BZ Gen Y,India,Brick & Mortar,Retailer,90002011,Atliq Exclusive,18
2025-05-01,PC,Business Laptop,A5820110103,AQ BZ Allin1,Austria,Brick & Mortar,Retailer,90020098,Electricalsquipo Stores,1
2025-05-01,P & A,Batteries,A3920150302,AQ LION x3,Portugal,Brick & Mortar,Retailer,90017049,Premium Stores,1
2025-05-01,PC,Personal Laptop,A4419110403,AQ Elite,South Korea,E-Commerce,Direct,70007199,Atliq e Store,60
2025-05-01,P & A,Keyboard,A3220150403,AQ Lite,Canada,Brick & Mortar,Retailer,90023026,Relief,45
2025-05-01,P & A,Graphic Card,A0821150502,AQ Marquee P3,Italy,Brick & Mortar,Direct,70013125,AltiQ Exclusive,4
2025-05-01,P & A,Graphic Card,A0721150401,AQ GT 21,United Kingdom,Brick & Mortar,Retailer,90021090,Radio Popular,15
2025-05-01,P & A,Processors,A1219150301,AQ 5000 Series Ultron 8 5900X Desktop Processor,Germany,Brick & Mortar,Retailer,90012034,Otto,16
2025-05-01,P & A,MotherBoard,A1618150101,AQ MB Elite,China,Brick & Mortar,Distributor,80001019,Neptune,40
2025-05-01,PC,Personal Laptop,A4319110302,AQ Velocity,Newzealand,Brick & Mortar,Direct,70009133,,4 units
2025-05-01,PC,Personal Laptop,A4419110408,AQ Elite,India,E-Commerce,Retailer,90002009,Flipkart,46
2025-05-01,P & A,Batteries,A4020150402,AQ Mx NB,Poland,E-Commerce,Direct,70016178,,4
2025-05-01,P & A,Mouse,A2620150603,AQ Qwerty Ms,Austria,Brick & Mortar,Retailer,90020099,Integration Stores,45
2025-05-01,N & S,Wi fi extender,A7219160201,AQ Wi Power Dx2,Canada,Brick & Mortar,Retailer,90023022,Nomad Stores,52
2025-05-01,PC,Personal Desktop,A6018110104,AQ Home Allin1,Indonesia,Brick & Mortar,Retailer,90003179,Acclaimed Stores,2
2025-05-01,P & A,Mouse,A2219150203,AQ Master wireless x1 Ms,Italy,Brick & Mortar,Retailer,90013121,Boulanger,50 units
2025-05-01,PC,Gaming Laptop,A5419110206,AQ Gamer 2,Bangladesh,Brick & Mortar,Direct,70010047,AltiQ Exclusive,2
2025-05-01,P & A,Processors,A1421150503,AQ Electron 4 3600 Desktop Processor,Japan,E-Commerce,Retailer,90004067,,19
2025-05-01,PC,Business Laptop,A5219110405,AQ BZ Gen Z,Poland,Brick & Mortar,Retailer,90016173,Expert,30
2025-05-01,P & A,Mouse,A2721150703,AQ Trigger Ms,Germany,Brick & Mortar,Retailer,90012039,Currys (Dixons Carphone),132
2025-05-01,P & A,Graphic Card,A0621150307,AQ Mforce Gen Z,Pakistan,E-Commerce,Direct,ZZZ1510,Atliq e Store,14
2025-05-01,P & A,Graphic Card,A0619150302,AQ Mforce Gen Z,Mexico,E-Commerce,Retailer,90026205,Amazon,6
2025-05-01,P & A,Internal HDD,A0118150101,AQ Dracula HDD â€“ 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Poland,Brick & Mortar,Direct,70016177,AltiQ Exclusive,15
2025-05-01,PC,Personal Laptop,A4319110303,AQ Velocity,United Kingdom,Brick & Mortar,Retailer,90021091,Expert,10
2025-05-01,PC,Business Laptop,A4918110103,AQ BZ 101,Spain,E-Commerce,Direct,ZZZ2279,Atliq e Store,2
2025-05-01,P & A,Mouse,A2419150402,AQ Lite Ms,Portugal,Brick & Mortar,Retailer,ZZZ4365,Info Stores,77
2025-05-01,P & A,Keyboard,A3421150605,AQ Qwerty,Columbia,Brick & Mortar,Retailer,90025209,Electricalsbea Stores,13
2025-05-01,P & A,MotherBoard,A1819150304,AQ MB Crossx 2,Italy,E-Commerce,Direct,70013126,Atliq e Store,20
2025-05-01,P & A,MotherBoard,A1919150402,AQ MB Lito,Portugal,-,Retailer,90017054,,7
2025-05-01,P & A,Mouse,A2118150101,AQ Master wired x1 Ms,Portugal,Brick & Mortar,Retailer,90017050,Electricalsara Stores,28
2025-05-01,P & A,MotherBoard,A1618150102,AQ MB Elite,South Korea,E-Commerce,Retailer,90007197,Amazon,32
2025-05-01,PC,Gaming Laptop,A5419110204,AQ Gamer 2,Philiphines,Brick & Mortar,Direct,70006157,AltiQ Exclusive,2
2025-05-01,N & S,External Solid State Drives,A6520160402,AQ Clx2,Japan,Brick & Mortar,Retailer,90004061,Info Stores,38
2025-05-01,P & A,Batteries,A3718150102,AQ LION x1,Italy,Brick & Mortar,Retailer,ZZZ3527,Argos (Sainsbury's),120
2025-05-01,P & A,Graphic Card,A0519150207,AQ Mforce Gen Y,France,Brick & Mortar,Retailer,90011191,Sorefoz,29
2025-05-01,P & A,MotherBoard,A1819150302,AQ MB Crossx 2,Newzealand,Brick & Mortar,Retailer,90009131,Path,11
2025-05-01,PC,Personal Laptop,A4419110404,AQ Elite,Poland,Brick & Mortar,Retailer,90016171,Electricalsara Stores,3
2025-05-01,P & A,Processors,A1521150602,AQ Electron 3 3600 Desktop Processor,Canada,Brick & Mortar,Retailer,ZZZ5876,Nomad Stores,19
2025-05-01,N & S,USB Flash Drives,A6819160203,AQ Pen Drive DRC,Australia,Brick & Mortar,Retailer,90008167,Electricalsocity,286 units
2025-05-01,P & A,Mouse,A2520150502,AQ Maxima Ms,Newzealand,Brick & Mortar,Direct,70009133,AltiQ Exclusive,71
2025-05-01,P & A,Batteries,A3718150103,AQ LION x1,Spain,Brick & Mortar,Retailer,90018109,Chiptec,11
2025-05-01,P & A,Keyboard,A3119150303,AQ Gamers,Sweden,Brick & Mortar,Retailer,90019202,Argos (Sainsbury's),10
2025-05-01,PC,Gaming Laptop,A5621110408,AQ Smash 1,Italy,Brick & Mortar,Retailer,90013122,,15
2025-05-01,P & A,Mouse,A2118150102,AQ Master wired x1 Ms,France,E-Commerce,Direct,70011194,Atliq e Store,210
2025-05-01,PC,Business Laptop,A5820110107,AQ BZ Allin1,Italy,Brick & Mortar,Direct,70013125,AltiQ Exclusive,2
2025-05-01,P & A,MotherBoard,A1819150302,AQ MB Crossx 2,France,Brick & Mortar,Retailer,90011189,UniEuro,19 units
2025-05-01,P & A,Graphic Card,A0621150307,AQ Mforce Gen Z,Netherlands,UNKNOWN,Retailer,90014137,Media Markt,19
2025-05-01,P & A,Batteries,A4021150405,AQ Mx NB,Austria,Brick & Mortar,Retailer,90020101,Euronics,3
2025-05-01,PC,Personal Desktop,A6018110102,AQ Home Allin1,United Kingdom,Brick & Mortar,Retailer,90021086,Electricalsquipo Stores,2
2025-05-01,P & A,Processors,A1219150301,AQ 5000 Series Ultron 8 5900X Desktop Processor,Norway,Brick & Mortar,Retailer,90015147,Chiptec,41
2025-05-01,N & S,Wi fi extender,A7321160303,AQ Wi Power Dx3,Austria,Brick & Mortar,Retailer,ZZZ2684,Euronics,28
2025-05-01,N & S,Wi fi extender,A7321160301,AQ Wi Power Dx3,India,Brick & Mortar,Retailer,90002007,Girias,523
2025-05-01,P & A,Keyboard,A3220150403,AQ Lite,Newzealand,Brick & Mortar,Direct,70009133,,65 units
2025-05-01,P & A,MotherBoard,A1718150202,AQ MB Crossx,Norway,Brick & Mortar,Retailer,90015147,Chiptec,13
2025-05-01,N & S,Wi fi extender,A7220160202,AQ Wi Power Dx2,Netherlands,Brick & Mortar,Retailer,90014135,Electricalslance Stores,540
2025-05-01,P & A,MotherBoard,A1819150303,AQ MB Crossx 2,USA,Brick & Mortar,Retailer,90022079,walmart,44
2025-05-01,P & A,Mouse,A2319150305,AQ Gamers Ms,Austria,Brick & Mortar,Retailer,90020102,Fnac-Darty,23 units
2025-05-01,P & A,MotherBoard,A1819150301,AQ MB Crossx 2,Austria,Brick & Mortar,Retailer,90020097,Atlas Stores,4
2025-05-01,P & A,Mouse,A2419150405,AQ Lite Ms,United Kingdom,Brick & Mortar,Retailer,90021093,Chip 7,153
2025-05-01,P & A,Keyboard,A3120150304,AQ Gamers,Japan,E-Commerce,Direct,70004070,Atliq e Store,41
2025-05-01,PC,Personal Laptop,A4419110401,AQ Elite,Austria,Brick & Mortar,Retailer,90020102,Fnac-Darty,1
2025-05-01,P & A,MotherBoard,A2020150502,AQ MB Lito 2,Italy,Brick & Mortar,Retailer,90013123,Expert,11
2025-05-01,PC,Gaming Laptop,A5519110303,AQ Gamer 3,USA,E-Commerce,Retailer,90022074,Flipkart,9
2025-05-01,P & A,Keyboard,A3119150302,AQ Gamers,United Kingdom,Brick & Mortar,Retailer,90021089,Atlas Stores,90
2025-05-01,P & A,Keyboard,A3320150504,AQ Maxima,Poland,E-Commerce,Direct,70016178,Atliq e Store,54
2025-05-01,P & A,MotherBoard,A1718150203,AQ MB Crossx,Canada,Brick & Mortar,Retailer,90023029,Staples,9
2025-05-01,PC,Business Laptop,A5119110306,AQ BZ Gen Y,France,Brick & Mortar,Retailer,90011190,Media Markt,6
2025-05-01,PC,Personal Laptop,A4218110207,AQ Digit,Chile,Brick & Mortar,Retailer,90024183,Electricalsbea Stores,1
2025-05-01,P & A,Internal HDD,A0320150301,AQ Zion Saga,China,Brick & Mortar,Distributor,80001019,Neptune,102
2025-05-01,PC,Gaming Laptop,A5721110505,AQ Smash 2,United Kingdom,Brick & Mortar,Retailer,90021093,Chip 7,2
2025-05-01,P & A,Graphic Card,A0721150403,AQ GT 21,Newzealand,Brick & Mortar,Retailer,90009131,Path,13
2025-05-01,P & A,Processors,A1118150202,AQ 5000 Series Electron 8 5900X Desktop Processor,Netherlands,Brick & Mortar,Direct,ZZZ9618,AltiQ Exclusive,15
2025-05-01,P & A,Keyboard,A2918150103,AQ Master wired x1,Philiphines,Brick & Mortar,Direct,70006157,AltiQ Exclusive,185
2025-05-01,P & A,MotherBoard,A1718150203,AQ MB Crossx,United Kingdom,Brick & Mortar,Retailer,90021093,Chip 7,24
2025-05-01,P & A,Mouse,A2721150706,AQ Trigger Ms,Poland,Brick & Mortar,Retailer,90016171,Electricalsara Stores,35 units
2025-05-01,P & A,Mouse,A2620150601,AQ Qwerty Ms,Norway,Brick & Mortar,Direct,70015151,AltiQ Exclusive,165 units
2025-05-01,PC,Personal Laptop,A4721110704,AQ GEN Z,Italy,Brick & Mortar,Retailer,90013123,Expert,2
2025-05-01,P & A,Graphic Card,A0519150204,AQ Mforce Gen Y,USA,Brick & Mortar,Retailer,90022071,Acclaimed Stores,79
2025-05-01,PC,Personal Laptop,A4620110601,AQ Gen Y,Germany,Brick & Mortar,Retailer,90012039,Currys (Dixons Carphone),2 units
2025-05-01,P & A,Internal HDD,A0118150102,AQ Dracula HDD â€“ 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Italy,Brick & Mortar,Retailer,90013117,,17
2025-05-01,PC,Personal Laptop,A4620110605,AQ Gen Y,South Korea,E-Commerce,Retailer,90007197,Amazon,5
2025-05-01,P & A,Keyboard,A3018150201,AQ Master wireless x1,India,Brick & Mortar,Retailer,90002006,Viveks,590
2025-05-01,P & A,Mouse,A2319150302,AQ Gamers Ms,USA,-,Retailer,90022071,Acclaimed Stores,695
2025-05-01,P & A,Graphic Card,A0519150208,AQ Mforce Gen Y,Austria,Brick & Mortar,Retailer,90020101,Euronics,9
2025-05-01,P & A,Graphic Card,A0619150302,AQ Mforce Gen Z,India,Brick & Mortar,Retailer,90002015,Propel,27
2025-05-01,P & A,Batteries,A3819150204,AQ LION x2,Newzealand,Brick & Mortar,Retailer,90009129,Leader,150
2025-05-01,PC,Personal Laptop,A4218110203,AQ Digit,Indonesia,E-Commerce,Direct,70003182,Atliq e Store,13
2025-05-01,PC,Business Laptop,A5119110303,AQ BZ Gen Y,Pakistan,Brick & Mortar,Retailer,90005159,Expression,2
2025-05-01,P & A,Internal HDD,A0219150202,AQ WereWolf NAS Internal Hard Drive HDD â€“ 8.89 cm,Germany,Brick & Mortar,Direct,70012042,AltiQ Exclusive,375
2025-05-01,P & A,Graphic Card,A0621150307,AQ Mforce Gen Z,USA,Brick & Mortar,Retailer,90022078,Costco,123
2025-05-01,P & A,Mouse,A2219150204,AQ Master wireless x1 Ms,Philiphines,-,Direct,70006157,AltiQ Exclusive,95
2025-05-01,P & A,Graphic Card,A0921150601,AQ Marquee P4,Philiphines,Brick & Mortar,Retailer,90006153,Insight,21
2025-05-01,PC,Gaming Laptop,A5621110406,AQ Smash 1,Japan,Brick & Mortar,Direct,70004069,AltiQ Exclusive,1
2025-05-01,P & A,Mouse,A2520150503,AQ Maxima Ms,United Kingdom,E-Commerce,Retailer,90021095,Amazon,179
2025-05-01,PC,Gaming Laptop,A5621110404,AQ Smash 1,India,Brick & Mortar,Retailer,90002014,,11
2025-05-01,PC,Personal Laptop,A4218110203,AQ Digit,Newzealand,E-Commerce,Direct,70009134,Atliq e Store,3
2025-05-01,P & A,Graphic Card,A0821150501,AQ Marquee P3,South Korea,E-Commerce,Direct,70007199,Atliq e Store,40
2025-05-01,PC,Business Laptop,A4918110103,AQ BZ 101,Portugal,Brick & Mortar,Retailer,90017049,Premium Stores,2
2025-05-01,N & S,External Solid State Drives,A6218160102,AQ Digit SSD,Germany,E-Commerce,Direct,70012043,Atliq e Store,131
2025-05-01,P & A,Keyboard,A3421150604,AQ Qwerty,USA,Brick & Mortar,Retailer,90022077,Radio Shack,243
2025-05-01,P & A,Keyboard,A2918150101,AQ Master wired x1,Austria,E-Commerce,Retailer,90020103,Amazon,14
2025-05-01,PC,Business Laptop,A5018110205,AQ BZ Compact,USA,Brick & Mortar,Retailer,90022073,Control,6
2025-05-01,PC,Gaming Laptop,A5621110406,AQ Smash 1,Australia,E-Commerce,Direct,70008170,Atliq e Store,3
2025-05-01,P & A,Mouse,A2620150604,AQ Qwerty Ms,Philiphines,E-Commerce,Direct,70006158,Atliq e Store,78
2025-05-01,P & A,Keyboard,A3521150701,AQ Trigger,China,E-Commerce,Retailer,90001021,Taobao,258
2025-05-01,P & A,Keyboard,A3421150606,AQ Qwerty,India,Brick & Mortar,Retailer,ZZZ9032,,312
2025-05-01,P & A,MotherBoard,A2020150502,AQ MB Lito 2,Sweden,E-Commerce,Retailer,ZZZ7825,Amazon,5
2025-05-01,N & S,Wi fi extender,A7118160101,AQ Wi Power Dx1,Germany,Brick & Mortar,Retailer,90012039,Currys (Dixons Carphone),76
2025-05-01,P & A,Keyboard,A3421150606,AQ Qwerty,Australia,E-Commerce,Direct,70008170,Atliq e Store,1860
2025-05-01,P & A,Mouse,A2620150601,AQ Qwerty Ms,India,Brick & Mortar,Direct,70002017,AltiQ Exclusive,953 units
2025-05-01,P & A,Graphic Card,A0620150304,AQ Mforce Gen Z,India,Brick & Mortar,Retailer,ZZZ8489,Propel,143
2025-05-01,P & A,Mouse,A2419150403,AQ Lite Ms,Spain,Brick & Mortar,Retailer,90018111,Media Markt,75
2025-05-01,P & A,Internal HDD,A0321150302,AQ Zion Saga,Spain,Brick & Mortar,Retailer,90018109,Chiptec,25
2025-05-01,PC,Business Laptop,A5119110308,AQ BZ Gen Y,India,Brick & Mortar,Retailer,90002015,Propel,12
2025-05-01,P & A,Mouse,A2620150602,AQ Qwerty Ms,Sweden,Brick & Mortar,Retailer,90019202,Argos (Sainsbury's),36
2025-05-01,P & A,Mouse,A2319150304,AQ Gamers Ms,Portugal,Brick & Mortar,Retailer,90017057,Euronics,71
2025-05-01,P & A,Batteries,A3718150101,AQ LION x1,South Korea,E-Commerce,Retailer,90007197,Amazon,17
2025-05-01,P & A,MotherBoard,A1618150102,AQ MB Elite,Sweden,Brick & Mortar,Retailer,90019201,Expert,3
2025-05-01,P & A,Keyboard,A3521150702,AQ Trigger,Spain,E-Commerce,Direct,70018115,Atliq e Store,115
2025-05-01,P & A,Keyboard,A2918150101,AQ Master wired x1,Philiphines,E-Commerce,Direct,70006158,Atliq e Store,165
2025-05-01,P & A,Mouse,A2721150706,AQ Trigger Ms,Sweden,UNKNOWN,Retailer,90019203,Amazon,5
2025-05-01,PC,Business Laptop,A5820110103,AQ BZ Allin1,Philiphines,Brick & Mortar,Retailer,90006153,Insight,1
2025-05-01,P & A,Keyboard,A3521150703,AQ Trigger,Germany,Brick & Mortar,Retailer,90012034,Otto,42
2025-05-01,PC,Gaming Laptop,A5318110106,AQ Gamer 1,USA,E-Commerce,Retailer,ZZZ1256,Amazon,13
2025-05-01,PC,Gaming Laptop,A5318110106,AQ Gamer 1,Italy,E-Commerce,Direct,70013126,Atliq e Store,2
2025-05-01,N & S,Wi fi extender,A7220160202,AQ Wi Power Dx2,Spain,Brick & Mortar,Retailer,90018110,Boulanger,66
2025-05-01,P & A,Mouse,A2620150601,AQ Qwerty Ms,Italy,Brick & Mortar,Direct,70013125,AltiQ Exclusive,137
2025-05-01,PC,Business Laptop,A5119110307,AQ BZ Gen Y,Canada,E-Commerce,Retailer,90023030,Amazon,3
2025-05-01,PC,Personal Laptop,A4118110107,AQ Aspiron,USA,E-Commerce,Retailer,90022083,Ebay,27 units
2025-05-01,P & A,MotherBoard,A1919150403,AQ MB Lito,Canada,Brick & Mortar,Retailer,90023022,Nomad Stores,13
2025-05-01,P & A,Graphic Card,A0620150303,AQ Mforce Gen Z,Japan,E-Commerce,Direct,70004070,Atliq e Store,12
2025-05-01,P & A,Mouse,A2520150501,AQ Maxima Ms,Canada,Brick & Mortar,Retailer,90023025,Premium Stores,80
2025-05-01,P & A,Mouse,A2319150305,AQ Gamers Ms,Portugal,Brick & Mortar,Retailer,90017058,Mbit,50
2025-05-01,P & A,Batteries,A3920150301,AQ LION x3,Italy,Brick & Mortar,Direct,70013125,AltiQ Exclusive,11
2025-05-01,P & A,Batteries,A4020150402,AQ Mx NB,United Kingdom,UNKNOWN,Retailer,90021086,Electricalsquipo Stores,15
2025-05-01,P & A,Mouse,A2520150506,AQ Maxima Ms,USA,E-Commerce,Retailer,90022074,Flipkart,268
2025-05-01,N & S,Wi fi extender,A7220160203,AQ Wi Power Dx2,Newzealand,UNKNOWN,Retailer,90009127,Epic Stores,45
2025-05-01,P & A,Keyboard,A3220150404,AQ Lite,France,Brick & Mortar,Retailer,90011190,Media Markt,137
2025-05-01,P & A,Mouse,A2821150801,AQ Lumina Ms,Poland,UNKNOWN,Retailer,90016173,Expert,74
2025-05-01,PC,Personal Laptop,A4419110408,AQ Elite,Japan,Brick & Mortar,Retailer,ZZZ1519,Flawless Stores,1
2025-05-01,PC,Personal Laptop,A4319110305,AQ Velocity,Germany,E-Commerce,Retailer,ZZZ2130,Amazon,3
2025-05-01,PC,Gaming Laptop,A5419110202,AQ Gamer 2,Spain,E-Commerce,Retailer,90018114,Amazon,2
2025-05-01,P & A,Graphic Card,A0418150104,AQ Mforce Gen X,Japan,E-Commerce,Direct,70004070,Atliq e Store,5
2025-05-01,PC,Business Laptop,A5820110106,AQ BZ Allin1,United Kingdom,E-Commerce,Retailer,90021095,Amazon,2
2025-05-01,P & A,Processors,A1219150303,AQ 5000 Series Ultron 8 5900X Desktop Processor,United Kingdom,Brick & Mortar,Retailer,90021086,Electricalsquipo Stores,38
2025-05-01,P & A,Mouse,A2419150402,AQ Lite Ms,Germany,Brick & Mortar,Retailer,90012037,Saturn,143
2025-05-01,P & A,Mouse,A2419150404,AQ Lite Ms,USA,-,Retailer,90022083,Ebay,349
2025-05-01,N & S,Wi fi extender,A7220160202,AQ Wi Power Dx2,Spain,-,Retailer,90018114,Amazon,450
2025-05-01,P & A,Graphic Card,A0619150302,AQ Mforce Gen Z,Germany,Brick & Mortar,Retailer,90012033,Digimarket,12
2025-05-01,P & A,Keyboard,A3019150205,AQ Master wireless x1,Portugal,Brick & Mortar,Retailer,ZZZ6375,Forward Stores,29
2025-05-01,PC,Business Laptop,A5119110301,AQ BZ Gen Y,Netherlands,Brick & Mortar,Retailer,90014138,Mbit,1
2025-05-01,P & A,Batteries,A3920150303,AQ LION x3,Philiphines,Brick & Mortar,Distributor,80006154,Synthetic,90
2025-05-01,P & A,Processors,A1119150203,AQ 5000 Series Electron 8 5900X Desktop Processor,Canada,E-Commerce,Retailer,90023023,Amazon,95
2025-05-01,PC,Personal Laptop,A4620110607,AQ Gen Y,Philiphines,Brick & Mortar,Distributor,80006155,Novus,10
2025-05-01,PC,Personal Laptop,A4218110202,AQ Digit,Pakistan,Brick & Mortar,Retailer,90005159,Expression,1
2025-05-01,P & A,Internal HDD,A0320150301,AQ Zion Saga,India,Brick & Mortar,Retailer,90002013,Electricalslytical,208
2025-05-01,P & A,Processors,A1320150402,AQ Electron 5 3600 Desktop Processor,Netherlands,E-Commerce,Retailer,90014141,Amazon,23
2025-05-01,PC,Personal Laptop,A4118110106,AQ Aspiron,Bangladesh,E-Commerce,Retailer,90010046,Amazon,3
2025-05-01,PC,Personal Desktop,A6119110203,AQ HOME Allin1 Gen 2,Philiphines,Brick & Mortar,Distributor,80006154,Synthetic,6
2025-05-01,PC,Gaming Laptop,A5318110106,AQ Gamer 1,Italy,Brick & Mortar,Retailer,90013117,Euronics,2
2025-05-01,PC,Personal Laptop,A4620110601,AQ Gen Y,Austria,Brick & Mortar,Retailer,90020098,Electricalsquipo Stores,1
2025-05-01,PC,Business Laptop,A5820110106,AQ BZ Allin1,USA,Brick & Mortar,Retailer,90022075,BestBuy,12
2025-05-01,P & A,Keyboard,A2918150103,AQ Master wired x1,Japan,Brick & Mortar,Retailer,90004062,Flawless Stores,39 units
2025-05-01,P & A,Graphic Card,A0721150402,AQ GT 21,Indonesia,E-Commerce,Direct,70003182,Atliq e Store,52
2025-05-01,PC,Business Laptop,A4918110104,AQ BZ 101,Indonesia,Brick & Mortar,Retailer,90003179,Acclaimed Stores,14
2025-05-01,PC,Personal Desktop,A6119110203,AQ HOME Allin1 Gen 2,United Kingdom,Brick & Mortar,Retailer,90021089,Atlas Stores,1
2025-05-01,PC,Personal Laptop,A4720110701,AQ GEN Z,Spain,E-Commerce,Direct,70018115,Atliq e Store,6
2025-05-01,PC,Gaming Laptop,A5620110401,AQ Smash 1,Italy,Brick & Mortar,Retailer,90013123,Expert,1
2025-05-01,P & A,Keyboard,A3018150201,AQ Master wireless x1,Japan,Brick & Mortar,Direct,70004069,AltiQ Exclusive,10
2025-05-01,PC,Business Laptop,A5219110405,AQ BZ Gen Z,Norway,Brick & Mortar,Retailer,90015145,Synthetic,2
2025-05-01,PC,Business Laptop,A5119110301,AQ BZ Gen Y,Japan,E-Commerce,Direct,70004070,Atliq e Store,15
2025-05-01,PC,Personal Laptop,A4520110508,AQ Gen X,Indonesia,Brick & Mortar,Direct,70003181,AltiQ Exclusive,180
2025-05-01,PC,Business Laptop,A5018110202,AQ BZ Compact,United Kingdom,Brick & Mortar,Retailer,90021086,Electricalsquipo Stores,5
2025-05-01,PC,Business Laptop,A5018110207,AQ BZ Compact,Canada,E-Commerce,Retailer,90023030,Amazon,2
2025-05-01,PC,Gaming Laptop,A5419110204,AQ Gamer 2,Netherlands,Brick & Mortar,Direct,70014142,AltiQ Exclusive,1
2025-05-01,PC,Gaming Laptop,A5721110501,AQ Smash 2,Canada,Brick & Mortar,Retailer,90023026,Relief,2
