date,division,category,product_code,product,market,platform,channel,customer_code,customer_name,forecast_quantity
2025-05-01,P & A,Internal HDD,A0220150203,AQ WereWolf NAS Internal Hard Drive HDD â€“ 8.89 cm,Chile,Brick & Mortar,UNKNOWN,90024183,Electricalsbea Stores,2
2025-05-01,PC,Business Laptop,A4918110104,AQ BZ 101,Canada,Brick & Mortar,UNKNOWN,90023022,Nomad Stores,7
2025-05-01,PC,Gaming Laptop,A5520110308,AQ Gamer 3,Canada,Brick & Mortar,Retailer,90023029,Staples,80
2025-05-01,P & A,MotherBoard,A1919150401,AQ MB Lito,India,Brick & Mortar,Direct,70002017,AltiQ Exclusive,106
2025-05-01,N & S,Wi fi extender,A7321160302,AQ Wi Power Dx3,Bangladesh,Brick & Mortar,Retailer,90010045,Control,48
2025-05-01,P & A,Processors,A1320150403,AQ Electron 5 3600 Desktop Processor,France,Brick & Mortar,Retailer,90011189,UniEuro,68
2025-05-01,PC,Personal Laptop,A4218110202,AQ Digit,Newzealand,E-Commerce,Direct,70009134,Atliq e Store,4
2025-05-01,P & A,Graphic Card,A0821150503,AQ Marquee P3,India,E-Commerce,Retailer,90002010,Ebay,71
2025-05-01,P & A,Keyboard,A3119150301,AQ Gamers,Portugal,Brick & Mortar,Retailer,90017049,Premium Stores,60
2025-05-01,PC,Personal Laptop,A4419110408,AQ Elite,France,Brick & Mortar,Retailer,90011187,Chip 7,3
2025-05-01,P & A,Mouse,A2721150703,AQ Trigger Ms,Norway,Brick & Mortar,Direct,70015151,AltiQ Exclusive,297
2025-05-01,P & A,Graphic Card,A0519150204,AQ Mforce Gen Y,Portugal,Brick & Mortar,Retailer,ZZZ1035,Electricalslance Stores,22
2025-05-01,P & A,Graphic Card,A0621150307,AQ Mforce Gen Z,Italy,E-Commerce,Direct,70013126,,4
2025-05-01,P & A,Keyboard,A2918150101,AQ Master wired x1,China,E-Commerce,Retailer,90001021,Taobao,135
2025-05-01,PC,Gaming Laptop,A5519110304,AQ Gamer 3,India,E-Commerce,Retailer,90002009,Flipkart,19
2025-05-01,PC,Business Laptop,A5219110402,AQ BZ Gen Z,Austria,Brick & Mortar,Retailer,90020102,Fnac-Darty,1
2025-05-01,PC,Personal Laptop,A4520110504,AQ Gen X,Germany,Brick & Mortar,N/A,90012035,Notebillig,2
2025-05-01,PC,Business Laptop,A5820110105,AQ BZ Allin1,France,E-Commerce,Direct,70011194,Atliq e Store,9
2025-05-01,P & A,Mouse,A2319150303,AQ Gamers Ms,Netherlands,Brick & Mortar,Retailer,90014137,Media Markt,54
2025-05-01,P & A,Processors,A1320150403,AQ Electron 5 3600 Desktop Processor,Portugal,Brick & Mortar,Retailer,90017057,Euronics,9
2025-05-01,PC,Gaming Laptop,A5419110207,AQ Gamer 2,Spain,Brick & Mortar,Retailer,90018113,ElkjÃ¸p,2
2025-05-01,PC,Gaming Laptop,A5318110106,AQ Gamer 1,Australia,Brick & Mortar,Retailer,90008167,Electricalsocity,6
2025-05-01,PC,Business Laptop,A5119110306,AQ BZ Gen Y,Newzealand,Brick & Mortar,UNKNOWN,90009131,Path,5
2025-05-01,PC,Personal Laptop,A4218110206,AQ Digit,Portugal,Brick & Mortar,Retailer,90017054,Flawless Stores,5
2025-05-01,P & A,Batteries,A3920150302,AQ LION x3,Pakistan,Brick & Mortar,Retailer,90005159,Expression,6
2025-05-01,P & A,Batteries,A3920150303,AQ LION x3,United Kingdom,Brick & Mortar,N/A,90021090,Radio Popular,29
2025-05-01,PC,Business Laptop,A5820110105,AQ BZ Allin1,Germany,E-Commerce,Retailer,90012041,Amazon,40
2025-05-01,P & A,Processors,A1420150501,AQ Electron 4 3600 Desktop Processor,India,Brick & Mortar,Retailer,90002006,Viveks,98
2025-05-01,P & A,Mouse,A2520150503,AQ Maxima Ms,Poland,Brick & Mortar,Direct,70016177,AltiQ Exclusive,19
2025-05-01,P & A,Mouse,A2319150301,AQ Gamers Ms,United Kingdom,Brick & Mortar,Retailer,90021086,Electricalsquipo Stores,532
2025-05-01,P & A,Mouse,A2219150205,AQ Master wireless x1 Ms,Netherlands,E-Commerce,Direct,70014143,Atliq e Store,18
2025-05-01,P & A,Graphic Card,A0418150106,AQ Mforce Gen X,Bangladesh,Brick & Mortar,Retailer,90010045,Control,18
2025-05-01,P & A,Processors,A1319150401,AQ Electron 5 3600 Desktop Processor,USA,E-Commerce,Retailer,90022082,Amazon,119
2025-05-01,P & A,Mouse,A2520150503,AQ Maxima Ms,France,Brick & Mortar,Direct,70011193,AltiQ Exclusive,231
2025-05-01,N & S,External Solid State Drives,A6419160301,AQ Clx1,Italy,Brick & Mortar,Direct,ZZZ4588,AltiQ Exclusive,57
2025-05-01,PC,Gaming Laptop,A5419110205,AQ Gamer 2,Spain,Brick & Mortar,Retailer,90018105,Integration Stores,1 units
2025-01-05,PC,Personal Laptop,A4620110601,AQ Gen Y,Spain,E-Commerce,Retailer,90018114,Amazon,3
2025-01-05,PC,Gaming Laptop,A5621110408,AQ Smash 1,Indonesia,Brick & Mortar,Direct,70003181,AltiQ Exclusive,9
2025-05-01,P & A,Batteries,A3718150102,AQ LION x1,Portugal,Brick & Mortar,Retailer,90017049,Premium Stores,9
2025-05-01,PC,Gaming Laptop,A5519110304,AQ Gamer 3,Germany,Brick & Mortar,Retailer,90012037,Saturn,2
2025-05-01,P & A,Mouse,A2721150704,AQ Trigger Ms,Poland,Brick & Mortar,Retailer,90016173,Expert,39
2025-05-01,PC,Personal Laptop,A4419110406,AQ Elite,India,Brick & Mortar,N/A,ZZZ2584,Propel,8 units
2025-05-01,P & A,Graphic Card,A0721150403,AQ GT 21,Pakistan,Brick & Mortar,Retailer,90005159,Expression,12
2025-05-01,N & S,External Solid State Drives,A6319160202,AQ Neuer SSD,France,Brick & Mortar,Retailer,90011189,UniEuro,231
2025-01-05,PC,Personal Laptop,A4218110203,AQ Digit,Newzealand,Brick & Mortar,Retailer,90009131,Path,4
2025-05-01,PC,Personal Laptop,A4519110503,AQ Gen X,Chile,Brick & Mortar,Retailer,90024183,Electricalsbea Stores,1
2025-05-01,PC,Personal Laptop,A4319110305,AQ Velocity,Bangladesh,Brick & Mortar,Retailer,90010045,Control,6
2025-05-01,PC,Personal Laptop,A4419110401,AQ Elite,Canada,Brick & Mortar,Direct,ZZZ3240,AltiQ Exclusive,12
2025-01-05,PC,Personal Laptop,A4520110504,AQ Gen X,Spain,Brick & Mortar,Retailer,90018113,ElkjÃ¸p,1
2025-05-01,P & A,Keyboard,A3320150503,AQ Maxima,Netherlands,Brick & Mortar,Retailer,ZZZ2133,Electricalslance Stores,11
2025-05-01,P & A,MotherBoard,A2021150503,AQ MB Lito 2,United Kingdom,E-Commerce,Retailer,90021095,Amazon,33
2025-05-01,P & A,Mouse,A2620150601,AQ Qwerty Ms,Bangladesh,E-Commerce,Retailer,ZZZ1514,Amazon,189
2025-05-01,P & A,Batteries,A3920150301,AQ LION x3,Italy,Brick & Mortar,-,90013117,Euronics,8
2025-05-01,P & A,Processors,A1118150201,AQ 5000 Series Electron 8 5900X Desktop Processor,Australia,Brick & Mortar,Retailer,90008167,Electricalsocity,45 units
2025-05-01,PC,Personal Laptop,A4419110401,AQ Elite,France,Brick & Mortar,Retailer,90011191,Sorefoz,6
2025-05-01,PC,Gaming Laptop,A5318110103,AQ Gamer 1,Canada,Brick & Mortar,Retailer,90023025,Premium Stores,4
2025-05-01,P & A,Keyboard,A3320150502,AQ Maxima,India,E-Commerce,Retailer,90002009,Flipkart,4760
2025-05-01,P & A,Batteries,A3818150201,AQ LION x2,United Kingdom,Brick & Mortar,Retailer,90021093,Chip 7,22
2025-05-01,PC,Gaming Laptop,A5318110108,AQ Gamer 1,Japan,E-Commerce,Direct,70004070,Atliq e Store,1
2025-05-01,P & A,Keyboard,A3521150702,AQ Trigger,France,Brick & Mortar,Retailer,90011190,Media Markt,114
2025-05-01,PC,Personal Laptop,A4520110504,AQ Gen X,Canada,Brick & Mortar,Retailer,90023029,Staples,4
2025-05-01,PC,Personal Laptop,A4318110301,AQ Velocity,Chile,Brick & Mortar,Retailer,90024183,Electricalsbea Stores,1
2025-05-01,N & S,Wi fi extender,A7220160203,AQ Wi Power Dx2,Bangladesh,E-Commerce,Retailer,90010046,Amazon,114 units
2025-05-01,PC,Business Laptop,A5219110402,AQ BZ Gen Z,Austria,Brick & Mortar,Retailer,90020099,,1
2025-05-01,P & A,Graphic Card,A0620150305,AQ Mforce Gen Z,USA,E-Commerce,Retailer,90022083,Ebay,49
2025-01-05,P & A,Graphic Card,A0821150502,AQ Marquee P3,Austria,Brick & Mortar,Retailer,90020099,Integration Stores,120
2025-05-01,PC,Business Laptop,A4918110101,AQ BZ 101,India,Brick & Mortar,Retailer,90002014,Expression,9
2025-05-01,PC,Gaming Laptop,A5419110207,AQ Gamer 2,Germany,Brick & Mortar,Retailer,90012033,Digimarket,1
2025-05-01,N & S,External Solid State Drives,A6419160303,AQ Clx1,Canada,Brick & Mortar,Retailer,90023029,Staples,292
2025-05-01,P & A,Keyboard,A3019150206,AQ Master wireless x1,Canada,Brick & Mortar,Retailer,90023027,Costco,32
2025-01-05,P & A,Keyboard,A2918150102,AQ Master wired x1,France,Brick & Mortar,Retailer,90011187,Chip 7,88
2025-05-01,P & A,Batteries,A4020150401,AQ Mx NB,USA,Brick & Mortar,Retailer,90022077,Radio Shack,61
2025-05-01,PC,Business Laptop,A5820110104,AQ BZ Allin1,Germany,Brick & Mortar,Retailer,90012038,Expert,2
2025-05-01,P & A,Mouse,A2620150601,AQ Qwerty Ms,Pakistan,Brick & Mortar,Retailer,90005161,Zone,29
2025-05-01,PC,Gaming Laptop,A5419110203,AQ Gamer 2,France,E-Commerce,Direct,70011194,Atliq e Store,40
2025-05-01,PC,Gaming Laptop,A5419110205,AQ Gamer 2,India,Brick & Mortar,Retailer,90002006,Viveks,15
2025-05-01,P & A,MotherBoard,A1819150301,AQ MB Crossx 2,Portugal,Brick & Mortar,Retailer,90017050,Electricalsara Stores,16
2025-05-01,N & S,External Solid State Drives,A6519160401,AQ Clx2,Norway,Brick & Mortar,Retailer,90015146,Mbit,116
2025-05-01,P & A,Processors,A1118150201,AQ 5000 Series Electron 8 5900X Desktop Processor,India,Brick & Mortar,Retailer,90002015,Propel,236 units
2025-05-01,P & A,Mouse,A2720150701,AQ Trigger Ms,Japan,Brick & Mortar,Retailer,90004066,,24
2025-05-01,P & A,Mouse,A2721150703,AQ Trigger Ms,India,E-Commerce,Retailer,90002010,Ebay,178
2025-05-01,P & A,Processors,A1319150401,AQ Electron 5 3600 Desktop Processor,Portugal,Brick & Mortar,Retailer,90017050,Electricalsara Stores,18
2025-05-01,P & A,Mouse,A2319150306,AQ Gamers Ms,United Kingdom,Brick & Mortar,Retailer,90021090,Radio Popular,339
2025-05-01,N & S,Wi fi extender,A7219160201,AQ Wi Power Dx2,France,Brick & Mortar,Retailer,90011185,Epic Stores,92
2025-01-05,PC,Personal Laptop,A4519110501,AQ Gen X,India,Brick & Mortar,Retailer,90002002,Croma,28
2025-05-01,PC,Gaming Laptop,A5621110408,AQ Smash 1,Canada,Brick & Mortar,Retailer,90023029,Staples,3
2025-05-01,PC,Gaming Laptop,A5419110206,AQ Gamer 2,United Kingdom,Brick & Mortar,Retailer,90021090,Radio Popular,5
2025-05-01,P & A,Graphic Card,A0519150206,AQ Mforce Gen Y,Pakistan,E-Commerce,Direct,70005163,Atliq e Store,17
2025-01-05,P & A,Processors,A1319150401,AQ Electron 5 3600 Desktop Processor,USA,Brick & Mortar,Retailer,90022075,BestBuy,1480
2025-05-01,PC,Gaming Laptop,A5520110308,AQ Gamer 3,Philiphines,Brick & Mortar,UNKNOWN,80006154,Synthetic,7
2025-05-01,P & A,Processors,A1320150402,AQ Electron 5 3600 Desktop Processor,USA,Brick & Mortar,Retailer,90022077,Radio Shack,32
2025-05-01,PC,Personal Laptop,A4419110404,AQ Elite,Germany,Brick & Mortar,Retailer,90012039,Currys (Dixons Carphone),4
2025-05-01,PC,Personal Laptop,A4218110205,AQ Digit,France,E-Commerce,Direct,70011194,Atliq e Store,8
2025-05-01,P & A,Keyboard,A3019150206,AQ Master wireless x1,Mexico,E-Commerce,Retailer,90026205,Amazon,8
2025-05-01,PC,Personal Laptop,A4419110406,AQ Elite,Portugal,Brick & Mortar,Retailer,90017053,,4
2025-01-05,N & S,External Solid State Drives,A6520160402,AQ Clx2,Japan,Brick & Mortar,Retailer,90004061,Info Stores,22
2025-05-01,P & A,Keyboard,A3119150301,AQ Gamers,Spain,Brick & Mortar,Retailer,90018105,Integration Stores,49
2025-05-01,P & A,Keyboard,A3421150605,AQ Qwerty,Brazil,E-Commerce,Retailer,90027207,Amazon,27
2025-05-01,P & A,Keyboard,A3420150602,AQ Qwerty,Italy,E-Commerce,Direct,70013126,Atliq e Store,81
2025-05-01,P & A,Graphic Card,A0519150208,AQ Mforce Gen Y,Poland,Brick & Mortar,Retailer,90016173,Expert,6
2025-05-01,P & A,Processors,A1119150203,AQ 5000 Series Electron 8 5900X Desktop Processor,Japan,Brick & Mortar,Retailer,90004062,Flawless Stores,14
2025-05-01,P & A,Mouse,A2419150402,AQ Lite Ms,United Kingdom,Brick & Mortar,Retailer,90021091,Expert,115
2025-05-01,P & A,Mouse,A2721150705,AQ Trigger Ms,Germany,Brick & Mortar,Retailer,90012037,Saturn,59 units
2025-05-01,P & A,Batteries,A3818150201,AQ LION x2,Philiphines,E-Commerce,Direct,ZZZ6967,Atliq e Store,15
2025-01-05,PC,Gaming Laptop,A5721110506,AQ Smash 2,Norway,Brick & Mortar,Retailer,90015145,Synthetic,2
2025-01-05,PC,Personal Laptop,A4419110402,AQ Elite,Norway,E-Commerce,Retailer,90015150,Amazon,3
2025-05-01,P & A,Mouse,A2419150402,AQ Lite Ms,Australia,E-Commerce,Direct,70008170,Atliq e Store,257
2025-05-01,P & A,Keyboard,A3220150401,AQ Lite,USA,Brick & Mortar,Retailer,90022079,walmart,159
2025-01-05,P & A,Keyboard,A3521150703,AQ Trigger,Mexico,E-Commerce,Direct,70026206,Atliq e Store,20 units
2025-05-01,P & A,Internal HDD,A0320150301,AQ Zion Saga,USA,E-Commerce,Retailer,90022083,Ebay,92
2025-05-01,P & A,Graphic Card,A0619150302,AQ Mforce Gen Z,Pakistan,Brick & Mortar,Retailer,90005161,Zone,4
2025-05-01,PC,Business Laptop,A5018110206,AQ BZ Compact,Canada,Brick & Mortar,Retailer,90023025,Premium Stores,9
2025-05-01,PC,Business Laptop,A5821110108,AQ BZ Allin1,Portugal,Brick & Mortar,Retailer,90017053,Info Stores,1
2025-05-01,P & A,Processors,A1018150103,AQ 5000 Series Electron 9 5900X Desktop Processor,Spain,Brick & Mortar,Retailer,90018113,ElkjÃ¸p,13
2025-05-01,PC,Personal Laptop,A4620110607,AQ Gen Y,Japan,Brick & Mortar,Retailer,90004062,Flawless Stores,1
2025-05-01,P & A,MotherBoard,A1819150304,AQ MB Crossx 2,Bangladesh,Brick & Mortar,Direct,70010047,AltiQ Exclusive,14
2025-05-01,P & A,Batteries,A3819150205,AQ LION x2,France,Brick & Mortar,Retailer,90011191,Sorefoz,260
2025-05-01,PC,Personal Laptop,A4620110603,AQ Gen Y,India,E-Commerce,Direct,70002018,Atliq e Store,37
2025-01-05,P & A,Keyboard,A2918150104,AQ Master wired x1,Philiphines,Brick & Mortar,Distributor,80006155,Novus,83
2025-05-01,PC,Business Laptop,A4918110101,AQ BZ 101,Japan,E-Commerce,Direct,70004070,Atliq e Store,2
2025-05-01,P & A,MotherBoard,A1919150403,AQ MB Lito,India,E-Commerce,Retailer,90002010,Ebay,98
2025-05-01,P & A,Keyboard,A2918150103,AQ Master wired x1,South Korea,E-Commerce,Direct,70007199,Atliq e Store,76
2025-05-01,PC,Business Laptop,A5820110105,AQ BZ Allin1,USA,E-Commerce,Retailer,90022074,Flipkart,5
2025-05-01,P & A,Processors,A1521150602,AQ Electron 3 3600 Desktop Processor,Spain,Brick & Mortar,Retailer,90018111,Media Markt,4
2025-05-01,PC,Personal Laptop,A4620110602,AQ Gen Y,China,E-Commerce,N/A,90001021,Taobao,4
2025-05-01,P & A,Mouse,A2520150503,AQ Maxima Ms,Germany,Brick & Mortar,Retailer,90012035,Notebillig,76
2025-05-01,N & S,Wi fi extender,A7119160103,AQ Wi Power Dx1,Canada,Brick & Mortar,Retailer,90023029,Staples,221
2025-05-01,P & A,Graphic Card,A0519150207,AQ Mforce Gen Y,USA,E-Commerce,Retailer,90022081,,142
2025-05-01,N & S,Wi fi extender,A7118160101,AQ Wi Power Dx1,Newzealand,Brick & Mortar,Retailer,90009129,Leader,37
2025-05-01,N & S,External Solid State Drives,A6620160501,AQ Clx3,South Korea,E-Commerce,Direct,70007199,Atliq e Store,149
2025-05-01,PC,Gaming Laptop,A5721110503,AQ Smash 2,France,Brick & Mortar,Retailer,90011191,Sorefoz,5 units
2025-05-01,PC,Gaming Laptop,A5419110205,AQ Gamer 2,Portugal,Brick & Mortar,Retailer,90017050,Electricalsara Stores,3
2025-05-01,PC,Personal Laptop,A4118110106,AQ Aspiron,South Korea,Brick & Mortar,Direct,70007198,AltiQ Exclusive,2
2025-05-01,PC,Personal Laptop,A4218110205,AQ Digit,Germany,Brick & Mortar,Retailer,90012033,Digimarket,1
2025-05-01,PC,Business Laptop,A5219110401,AQ BZ Gen Z,Mexico,E-Commerce,Retailer,90026205,Amazon,1
2025-05-01,P & A,Keyboard,A3420150601,AQ Qwerty,Japan,Brick & Mortar,Retailer,90004063,Electricalsbea Stores,14
2025-01-05,P & A,Batteries,A3920150305,AQ LION x3,Japan,Brick & Mortar,Retailer,90004066,Surface Stores,4
2025-05-01,P & A,MotherBoard,A1819150303,AQ MB Crossx 2,United Kingdom,Brick & Mortar,Retailer,90021094,Coolblue,54
2025-05-01,PC,Personal Laptop,A4118110106,AQ Aspiron,Italy,Brick & Mortar,Retailer,90013119,Argos (Sainsbury's),2
2025-05-01,PC,Gaming Laptop,A5419110206,AQ Gamer 2,India,Brick & Mortar,Retailer,90002014,Expression,16
2025-01-05,P & A,Mouse,A2219150203,AQ Master wireless x1 Ms,France,Brick & Mortar,Retailer,90011190,Media Markt,41
2025-05-01,P & A,Keyboard,A3220150401,AQ Lite,Germany,E-Commerce,Direct,ZZZ1117,Atliq e Store,32
2025-05-01,PC,Business Laptop,A5820110105,AQ BZ Allin1,United Kingdom,Brick & Mortar,Retailer,90021093,Chip 7,4
2025-05-01,PC,Business Laptop,A5119110308,AQ BZ Gen Y,Austria,Brick & Mortar,Retailer,90020097,Atlas Stores,2
2025-05-01,PC,Personal Laptop,A4721110704,AQ GEN Z,Canada,Brick & Mortar,Retailer,90023026,Relief,9
2025-05-01,PC,Personal Laptop,A4218110205,AQ Digit,USA,E-Commerce,Retailer,90022081,Amazon,26
2025-05-01,P & A,Keyboard,A3521150704,AQ Trigger,Italy,Brick & Mortar,Retailer,ZZZ4241,Fnac-Darty,61
2025-05-01,PC,Personal Desktop,A6119110202,AQ HOME Allin1 Gen 2,Pakistan,E-Commerce,Direct,70005163,Atliq e Store,1
2025-05-01,P & A,Internal HDD,A0321150303,AQ Zion Saga,Spain,Brick & Mortar,Retailer,90018111,Media Markt,14
2025-05-01,P & A,MotherBoard,A1618150101,AQ MB Elite,Norway,Brick & Mortar,Retailer,90015149,UniEuro,18
2025-05-01,P & A,MotherBoard,A1718150201,AQ MB Crossx,Chile,Brick & Mortar,Retailer,90024183,Electricalsbea Stores,2
2025-01-05,P & A,Processors,A1521150602,AQ Electron 3 3600 Desktop Processor,Norway,Brick & Mortar,Retailer,90015146,Mbit,47 units
2025-01-05,PC,Personal Desktop,A6119110202,AQ HOME Allin1 Gen 2,Italy,Brick & Mortar,UNKNOWN,90013118,Fnac-Darty,1
2025-05-01,P & A,Processors,A1421150503,AQ Electron 4 3600 Desktop Processor,Japan,Brick & Mortar,Retailer,90004062,Flawless Stores,9
2025-05-01,PC,Personal Laptop,A4118110105,AQ Aspiron,South Korea,Brick & Mortar,Distributor,80007195,Sage,19
2025-05-01,PC,Business Laptop,A5018110207,AQ BZ Compact,France,Brick & Mortar,UNKNOWN,70011193,AltiQ Exclusive,10
2025-01-05,PC,Personal Desktop,A6019110107,AQ Home Allin1,South Korea,Brick & Mortar,Distributor,80007195,Sage,7
2025-05-01,P & A,Keyboard,A3018150201,AQ Master wireless x1,Australia,Brick & Mortar,Retailer,90008166,Sound,120
2025-05-01,PC,Business Laptop,A5219110407,AQ BZ Gen Z,Japan,Brick & Mortar,Retailer,90004062,Flawless Stores,2
2025-05-01,PC,Business Laptop,A5119110306,AQ BZ Gen Y,Portugal,Brick & Mortar,Retailer,90017049,,2
2025-05-01,P & A,Internal HDD,A0219150202,AQ WereWolf NAS Internal Hard Drive HDD â€“ 8.89 cm,Chile,Brick & Mortar,Retailer,90024183,Electricalsbea Stores,2
2025-05-01,PC,Personal Laptop,A4419110408,AQ Elite,Indonesia,Brick & Mortar,Retailer,90003179,Acclaimed Stores,200
2025-05-01,N & S,External Solid State Drives,A6218160102,AQ Digit SSD,Germany,E-Commerce,Direct,70012043,,70
2025-05-01,N & S,Wi fi extender,A7220160202,AQ Wi Power Dx2,Spain,E-Commerce,Retailer,90018114,Amazon,1500
2025-05-01,P & A,Batteries,A3718150101,AQ LION x1,India,Brick & Mortar,Retailer,90002005,Lotus,16
2025-05-01,P & A,Processors,A1118150201,AQ 5000 Series Electron 8 5900X Desktop Processor,USA,Brick & Mortar,Retailer,90022078,Costco,137 units
2025-05-01,PC,Business Laptop,A4918110101,AQ BZ 101,Bangladesh,Brick & Mortar,Retailer,90010045,Control,5
2025-05-01,N & S,Wi fi extender,A7321160303,AQ Wi Power Dx3,Austria,Brick & Mortar,Retailer,90020101,Euronics,18
2025-05-01,PC,Personal Desktop,A6018110102,AQ Home Allin1,USA,Brick & Mortar,Retailer,90022071,Acclaimed Stores,1
2025-05-01,PC,Gaming Laptop,A5721110504,AQ Smash 2,Japan,Brick & Mortar,Retailer,90004062,Flawless Stores,1
2025-05-01,PC,Gaming Laptop,A5520110307,AQ Gamer 3,Newzealand,Brick & Mortar,Direct,70009133,AltiQ Exclusive,3
2025-05-01,PC,Personal Laptop,A4218110205,AQ Digit,Austria,Brick & Mortar,Retailer,90020097,Atlas Stores,1
2025-01-05,PC,Gaming Laptop,A5419110206,AQ Gamer 2,Pakistan,E-Commerce,Retailer,90005162,Amazon,2
2025-05-01,PC,Personal Laptop,A4419110402,AQ Elite,Sweden,E-Commerce,Retailer,90019203,Amazon,1
